                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   4.28,                0.48958,                0.83875,                 4.6791,              0.0033278,              0.0033278,              0.0033278
                      2,                 2.0982,                0.68625,                   0.94,                 4.2678,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.3669,                0.69125,                0.94375,                 4.2042,              0.0097966,              0.0097966,              0.0097966
                      4,                  1.267,                  0.705,                 0.9475,                 4.1756,               0.009703,               0.009703,               0.009703
                      5,                 1.1107,                0.69542,                0.94875,                 4.1749,               0.009703,               0.009703,               0.009703
                      6,                 1.0129,                0.70792,                 0.9425,                 4.1605,               0.009604,               0.009604,               0.009604
                      7,                0.89879,                0.70292,                0.94208,                 4.1544,               0.009505,               0.009505,               0.009505
                      8,                0.85392,                0.69792,                0.93667,                 4.1596,               0.009406,               0.009406,               0.009406
                      9,                0.80543,                0.69958,                0.93708,                 4.1474,               0.009307,               0.009307,               0.009307
                     10,                0.76318,                0.70917,                0.94333,                 4.1458,               0.009208,               0.009208,               0.009208
                     11,                 0.7066,                 0.7075,                0.93667,                 4.1425,               0.009109,               0.009109,               0.009109
                     12,                0.66821,                0.72167,                0.93833,                 4.1278,                0.00901,                0.00901,                0.00901
                     13,                0.64121,                 0.7125,                0.93375,                  4.131,               0.008911,               0.008911,               0.008911
                     14,                0.60079,                0.71167,                0.93417,                  4.128,               0.008812,               0.008812,               0.008812
                     15,                0.58258,                0.71542,                  0.935,                 4.1266,               0.008713,               0.008713,               0.008713
                     16,                0.55336,                0.70125,                0.93292,                 4.1434,               0.008614,               0.008614,               0.008614
                     17,                 0.5435,                  0.705,                0.93583,                 4.1352,               0.008515,               0.008515,               0.008515
                     18,                0.53474,                0.71167,                0.93167,                 4.1242,               0.008416,               0.008416,               0.008416
                     19,                0.50289,                0.70375,                0.93208,                 4.1359,               0.008317,               0.008317,               0.008317
                     20,                0.48809,                0.71083,                   0.93,                 4.1264,               0.008218,               0.008218,               0.008218
                     21,                0.48011,                0.70917,                0.93708,                 4.1291,               0.008119,               0.008119,               0.008119
                     22,                0.45603,                0.70833,                0.93083,                 4.1283,                0.00802,                0.00802,                0.00802
                     23,                0.43862,                 0.7125,                0.93042,                 4.1247,               0.007921,               0.007921,               0.007921
                     24,                0.42447,                  0.715,                0.92458,                 4.1239,               0.007822,               0.007822,               0.007822
                     25,                0.40423,                0.71792,                0.92833,                 4.1171,               0.007723,               0.007723,               0.007723
                     26,                0.39456,                0.71333,                0.93625,                 4.1212,               0.007624,               0.007624,               0.007624
