                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1212,                 5.4072,                  1.217,                0.00405,                0.01627,                0.00269,                 0.0021,                 1.0048,                 4.9184,                  1.049,              0.0033222,              0.0033222,              0.0033222
                      2,                 1.1769,                 4.6403,                 1.2377,                 0.0041,                0.49849,                0.00533,                0.00339,                 1.2364,                 4.2795,                 1.2992,              0.0065238,              0.0065238,              0.0065238
                      3,                 1.3118,                 4.0355,                 1.3644,                0.00307,                0.55535,                0.00726,                0.00409,                  1.438,                 4.4972,                 1.4944,              0.0095933,              0.0095933,              0.0095933
                      4,                 1.2981,                 3.8839,                 1.3837,                0.49542,                 0.0328,                0.01932,                0.01153,                 1.2521,                 3.9174,                 1.4715,               0.009406,               0.009406,               0.009406
                      5,                 1.2338,                 3.7263,                 1.3519,                0.52336,                0.04534,                 0.0249,                 0.0165,                 1.1195,                 3.8167,                 1.4144,               0.009406,               0.009406,               0.009406
                      6,                 1.1916,                 3.6334,                 1.3379,                0.40388,                0.07804,                0.03211,                 0.0216,                 1.1603,                 3.7067,                 1.5005,               0.009208,               0.009208,               0.009208
                      7,                 1.1598,                 3.5536,                 1.3163,                0.42136,                0.07316,                0.04744,                0.03373,                 1.0588,                 3.4221,                 1.3746,                0.00901,                0.00901,                0.00901
                      8,                 1.1378,                 3.4981,                 1.3055,                0.29287,                0.09071,                0.04176,                0.02813,                 1.0503,                 3.6047,                 1.3729,               0.008812,               0.008812,               0.008812
                      9,                 1.1281,                 3.4331,                 1.2998,                0.22026,                0.12343,                0.05676,                0.03945,                0.98985,                 3.3007,                 1.3234,               0.008614,               0.008614,               0.008614
                     10,                 1.1059,                 3.3848,                 1.2858,                0.22931,                0.13858,                0.06403,                0.04509,                 0.9906,                  3.266,                 1.2895,               0.008416,               0.008416,               0.008416
                     11,                 1.0856,                 3.3237,                 1.2758,                0.26517,                 0.1442,                0.06355,                0.04398,                0.99596,                 3.3687,                 1.3174,               0.008218,               0.008218,               0.008218
                     12,                 1.0789,                 3.3105,                 1.2711,                0.21621,                 0.1552,                0.07572,                 0.0542,                0.96513,                 3.1812,                 1.2743,                0.00802,                0.00802,                0.00802
                     13,                 1.0709,                 3.2641,                 1.2616,                0.19219,                0.16283,                0.07528,                 0.0539,                0.96663,                 3.3193,                 1.2643,               0.007822,               0.007822,               0.007822
                     14,                 1.0497,                 3.2193,                  1.253,                0.20701,                0.15476,                0.08077,                 0.0572,                0.98771,                 3.2318,                 1.2968,               0.007624,               0.007624,               0.007624
                     15,                 1.0529,                  3.209,                 1.2535,                0.14432,                 0.1801,                0.09201,                0.06841,                0.89592,                 3.0992,                 1.2232,               0.007426,               0.007426,               0.007426
                     16,                  1.044,                 3.1817,                 1.2487,                0.16992,                0.20607,                0.09474,                0.07029,                0.91585,                 3.0573,                 1.2417,               0.007228,               0.007228,               0.007228
                     17,                 1.0319,                 3.1494,                 1.2387,                0.14781,                0.22265,                0.10442,                0.07771,                0.90817,                 2.9648,                 1.2197,                0.00703,                0.00703,                0.00703
                     18,                   1.02,                 3.1197,                  1.233,                0.15066,                0.20916,                0.10807,                0.08003,                0.89448,                 2.9436,                 1.2188,               0.006832,               0.006832,               0.006832
                     19,                 1.0223,                 3.1033,                 1.2306,                0.15852,                0.22907,                 0.1228,                0.09227,                0.86476,                 2.8406,                  1.198,               0.006634,               0.006634,               0.006634
                     20,                 1.0131,                 3.0878,                 1.2271,                0.15729,                0.22727,                0.11394,                0.08554,                0.86419,                  2.886,                 1.1922,               0.006436,               0.006436,               0.006436
                     21,                 1.0095,                 3.0539,                 1.2278,                0.20175,                0.25424,                0.13445,                0.10228,                0.84461,                 2.8034,                 1.1839,               0.006238,               0.006238,               0.006238
                     22,                 1.0013,                 3.0411,                 1.2191,                0.14041,                0.23674,                0.12477,                0.09759,                0.82811,                 2.8192,                 1.1615,                0.00604,                0.00604,                0.00604
                     23,                0.99391,                 3.0237,                 1.2155,                 0.1536,                0.24719,                0.13625,                0.10638,                0.81337,                 2.7435,                 1.1594,               0.005842,               0.005842,               0.005842
